,0,cjc1jv1gex4
02c9323d02fc164f89c8f688dbfba8aad69a96fa8f6253ba8cce2c6f1546073fa3,1300,
cjc1jv1gex4,3600000,040bfdd42dab94a9a2b6324d93149c31bb2e76ec32082d5cfd0561d6edbf0cb9a94be641c7ef5767e6795d2369584120bf9e8c1e408a58b5a96f1b018f7bbe8aeb
cjc1jv1gex4,1400000,04d35306ae64bdd2a334084df96f5d14bc805c70f1b26181662bbbb816de3e1549af591eaba2c0196fe7e6b4cf981b26f616b6eae257ac5b1d3a793154b66427b7
cjc1jv1gex4,10000000,03513d70cd91902fd324412071f6a2f6a225b41f1c1a2ea858dd999f289f6443f9
cjc1jv1gex4,39954,02c9323d02fc164f89c8f688dbfba8aad69a96fa8f6253ba8cce2c6f1546073fa3
