,0,cjc1jv1gex4
024fa64811faf9fc0ab710f0ac6c049c06e270861d16d60f415f6dd25fae423200,1300,
cjc1jv1gex4,4900000,032c712b860caeeaf72e2524011efa1ba936e837efac27b1d9afe7eb57ffcd4875
cjc1jv1gex4,2200000,024fa64811faf9fc0ab710f0ac6c049c06e270861d16d60f415f6dd25fae423200
cjc1jv1gex4,700000,0339fc507866bf73f4fd2ff31b980550d44786eaf52db84922dce7553ca6428bb3
cjc1jv1gex4,10000000,030d59f256c2d73391e46fa8e3834a139a00758907cf8ee0576a6eb2e558ef2892
cjc1jv1gex4,2500000,02c9323d02fc164f89c8f688dbfba8aad69a96fa8f6253ba8cce2c6f1546073fa3
cjc1jv1gex4,16,024fa64811faf9fc0ab710f0ac6c049c06e270861d16d60f415f6dd25fae423200
